account_name_mentioned,account_id_if_stated,sentiment,churn_signals,competitor_names,key_quotes,action_items,renewal_status,confidence,language_detected,summary,note_index,raw_text,model_used,er_matched_account_id,er_match_type,cross_validation
BritePath Solutions (sic),1001.0,negative,"['missed_engagement', 'budget_cut']",[],"['No show for the third time this quarter.', 'Their admin told me the team has been pulled into a CMS evaluation project led by their CTO.', 'Budget was cut 20% across all SaaS vendors.']","['Attempt to reschedule the missed call', 'Discuss budget impact and explore pricing options', 'Inquire about the CMS evaluation to understand potential competition']",at_risk,high,en,"The account missed its third call this quarter, reports a 20% budget cut, and is evaluating a CMS, indicating heightened renewal risk.",0,"3/15 acct 1001 - BritePath Solutions (sic) call. No show for the third 
time this quarter. Their admin told me the team has been pulled into a CMS evaluation 
project led by their CTO. Budget was cut 20% across all SaaS vendors.",openai/gpt-oss-120b,1001,exact_id,agreement
NovaTech Industries,,negative,"['product_frustration', 'competitor_mention']","['Strapi', 'Sanity']","['Extremely tense call.', ""They've had 4 P1 tickets in the last month, all related to the v3 SDK deprecation."", 'CTO joined the call and asked point blank if we have a migration path.']","['Escalate to product team for a concrete migration path timeline', 'Provide CTO with detailed migration plan and timeline', 'Follow up on SDK deprecation resolution and impact']",at_risk,high,en,"The customer is highly frustrated by multiple critical tickets caused by SDK deprecation, demanding a migration path, and has mentioned competitors, putting the renewal at risk.",1,"2026-03-20 | NovaTech Industries | James O.
Extremely tense call. They've had 4 P1 tickets in the last month, all related to the 
v3 SDK deprecation. Their engineering team spent 200+ hours on workarounds. CTO 
joined the call and asked point blank if we have a migration path. I said we do but 
couldn't give a timeline. They mentioned Strapi and Sanity by name. Need to escalate.",openai/gpt-oss-120b,1002,fuzzy_high,er_only
meridian health,,mixed,"['migration_to_alternative', 'product_frustration']",[],"['NPS came back at 8 (decent) but their actual usage has cratered.', 'Turns out they built a custom middleware layer and are slowly moving content to a homegrown solution.', 'Classic silent churn pattern.']","['Provide information on data export APIs to VP of Digital', 'Discuss migration plan and potential retention strategies']",at_risk,high,en,"Usage has dropped sharply as the customer builds a custom middleware and moves to a homegrown solution, indicating migration risk despite a decent NPS and positive support feedback.",2,"march 25 -- meridian health -- priya
Good news/bad news. NPS came back at 8 (decent) but their actual usage has cratered.
Turns out they built a custom middleware layer and are slowly moving content to a 
homegrown solution. The score reflects the *people* like our support team, not that 
they plan to stay. Classic silent churn pattern. VP of Digital was on the last call 
and asked about data export APIs.",openai/gpt-oss-120b,1003,fuzzy_high,er_only
Pinacle Media,1004.0,negative,"['competitor_evaluation', 'pricing_dispute', 'missed_engagement']",['Contentful'],"[""They're fine on the product side but the billing team is furious about the mid-cycle price increase."", 'Threatened to go to Contentful.', 'Two missed QBRs in a row.']","['Follow up to schedule the finance call to address pricing concerns', 'Engage billing team to discuss mid-cycle price increase', 'Re‑engage the customer to reschedule missed QBRs']",at_risk,high,en,"The customer is happy with the product but upset about a mid‑cycle price increase, threatened to switch to Contentful, and has missed two QBRs, putting the renewal at risk.",3,"3/28 Pinacle Media (acct 1004)
They're fine on the product side but the billing team is furious about the mid-cycle 
price increase. Threatened to go to Contentful. I've offered to set up a call with 
our finance team but they haven't responded. Two missed QBRs in a row.",openai/gpt-oss-120b,1004,exact_id,agreement
vanguard retail,,negative,"['product_frustration', 'champion_loss']",[],"[""they've stopped using workflows entirely since the Feb update broke their automation."", ""they filed a ticket but it's been open for 6 weeks."", 'she\'s ""lost faith in the roadmap.""']","['Escalate the open ticket to engineering for faster resolution', 'Schedule a call with the ops manager to discuss roadmap and regain confidence', 'Assess possibility of a workaround or fix for the broken automation']",at_risk,high,en,"Vanguard Retail has stopped using workflows after a Feb update broke automation, with an open ticket pending for six weeks and the ops manager—previous champion—expressing lost faith in the roadmap, putting the renewal at risk.",4,"Apr 1 - vanguard retail
just a quick note: they've stopped using workflows entirely since the Feb update broke
their automation. they filed a ticket but it's been open for 6 weeks. the ops manager 
told me she's ""lost faith in the roadmap."" she used to be our biggest champion there.",openai/gpt-oss-120b,1005,fuzzy_high,er_only
Atlas Financial,,negative,"['product_frustration', 'compliance_blocker', 'executive_involvement']",[],"['Quarterly business review went poorly.', ""They're in a regulated industry so this is a dealbreaker if we can't address it."", ""They brought their CISO and asked about our SOC 2 audit timeline (we're behind).""]","['Provide updated SOC 2 audit timeline to client', 'Investigate feasibility of offering single-tenancy options for their plan', 'Address SDK v3.1 deprecated endpoint usage and propose remediation']",at_risk,high,en,"The QBR was poorly received, with the client flagging compliance gaps (SOC 2 audit delay, lack of single‑tenancy) and SDK issues, putting the renewal at risk.",5,"04/03 Atlas Financial
Quarterly business review went poorly. They brought their CISO and asked about our 
SOC 2 audit timeline (we're behind). Also asked about single-tenancy options which 
we don't offer on their current plan. They're in a regulated industry so this is a 
dealbreaker if we can't address it. Also on SDK v3.1 and hitting the deprecated 
endpoints daily.",openai/gpt-oss-120b,1006,fuzzy_high,er_only
Zenith Publishing,1007.0,negative,"['competitor_evaluation', 'pricing_dispute', 'explicit_churn_threat', 'product_frustration']",['Kontent.ai'],"['They want a 30% discount or they walk.', 'Editor performance on their 50k+ entry library is painful and they know it.', 'Competitor POC with Kontent.ai is apparently already underway.']","['Negotiate discount to retain account', 'Address editor performance pain points', 'Engage with CRO to discuss renewal and competitive threat']",at_risk,high,en,"Zenith Publishing (#1007) is negotiating renewal, demanding a 30% discount and reporting painful editor performance, while a Kontent.ai POC is underway, putting the renewal at risk.",6,"4/5 - Zenith Publishing (#1007)
Renewl conversation started. They want a 30% discount or they walk. Current ARR is 
high but margin is already thin. Editor performance on their 50k+ entry library is 
painful and they know it. Competitor POC with Kontent.ai is apparently already underway.
CRO was cc'd on the last email thread which is never a good sign.",openai/gpt-oss-120b,1007,exact_id,agreement
crescent labs,,positive,[],[],"['Happy with the product overall but their new VP of Marketing wants to see an ROI report before signing off on renewal.', ""Asked for case studies in their vertical (biotech). We don't have any ready."", 'Usage is stable but not growing.']","['Create ROI report for VP of Marketing', 'Develop biotech vertical case studies with marketing team']",needs_attention,high,en,"Crescent Labs is happy with the product but the new VP of Marketing needs an ROI report and biotech case studies before approving renewal; usage is flat, so the renewal requires attention.",7,"3/10 - crescent labs
Happy with the product overall but their new VP of Marketing wants to see an ROI 
report before signing off on renewal. Asked for case studies in their vertical 
(biotech). We don't have any ready. I need to work with marketing on this.
Usage is stable but not growing.",openai/gpt-oss-120b,1008,fuzzy_high,er_only
orion education,1009.0,mixed,"['m_and_a_risk', 'champion_loss']",[],"['They love the product but are merging with another ed-tech company that uses WordPress.', 'Decision expected by May.', 'Their champion (Director of Content) is nervous about her own role post-merger.']","['Track merger decision timeline and platform outcome', 'Identify and engage new champion post‑merger', 'Schedule follow‑up meeting before May to reassess renewal risk']",at_risk,high,en,"Orion Education loves the product but faces a pending merger that could affect platform choice and the champion’s role, putting the renewal at risk.",8,"3/18 orion education (1009)
They love the product but are merging with another ed-tech company that uses WordPress.
Unclear which platform survives. Decision expected by May. Their champion (Director 
of Content) is nervous about her own role post-merger. She's been our main advocate.",openai/gpt-oss-120b,1009,exact_id,agreement
TerraFirma Manufacturing,,mixed,"['explicit_churn_threat', 'product_frustration']",[],"[""They're interested in the new Agent OS features once it GAs."", 'Their current implementation is a mess -- they never finished the original migration from Drupal 18 months ago.', 'Might not renew unless we can give them a dedicated SA for 2 weeks to clean it up.']","['Arrange a dedicated Solution Architect for a 2‑week cleanup of their migration', 'Add TerraFirma to the early access program for the new Agent OS features']",at_risk,high,en,"TerraFirma Manufacturing is eager for new Agent OS features but their incomplete Drupal migration is causing friction, and they may not renew unless they receive dedicated support to clean up the implementation.",9,"march 22 TerraFirma Manufacturing
Had a call. They're interested in the new Agent OS features once it GAs. Want to be 
in the early access program. But their current implementation is a mess -- they 
never finished the original migration from Drupal 18 months ago. Half their content 
is still on the old system. Might not renew unless we can give them a dedicated SA 
for 2 weeks to clean it up.",openai/gpt-oss-120b,1010,fuzzy_high,er_only
