account_id,account_name,arr,contract_end_date,plan_tier,industry,csm_name,region,days_to_renewal,renewing_in_window,api_calls_last_month,api_calls_avg,active_users_last_month,active_users_avg,content_created_last_month,workflows_last_month,api_calls_trend_pct,active_users_trend_pct,content_trend_pct,workflows_trend_pct,api_calls_6m_change_pct,active_users_6m_change_pct,sdk_version,sdk_deprecated,ticket_count,p1_p2_count,open_escalated_count,avg_resolution_hours,recent_ticket_count,ticket_trend,has_blocking_issue,has_recurring_issue,nps_score,nps_verbatim,nps_contradiction,has_nps_contradiction,verbatim_language,has_nps,has_tickets,has_usage,signal_count
1000,Acme Corp,17000,2026-05-25,Starter,Media & Publishing,Carlos Mendez,NA-West,40,True,2246,3257.0,1,1.5,26,2,-15.39,-17.14,-14.87,-15.13,-52.24,-50.0,v3.2.0,True,7,5,3,60.3,4,increasing,True,False,6.0,The new editor is a downgrade. We've wasted months trying to adapt.,,False,en,True,True,True,3
1001,BrightPath Solutions,21000,2026-07-04,Starter,Travel & Hospitality,Sarah Chen,NA-East,80,True,2334,3730.0,1,1.6666666666666667,28,2,-16.05,-17.14,-13.84,-17.14,-56.88,-50.0,v3.2.0,True,13,11,8,62.6,6,decreasing,True,True,8.0,Support takes forever. Our P1 sat open for 3 weeks.,Score=8 contradicts negative verbatim,True,en,True,True,True,3
1002,NovaTech Industries,29000,2026-05-19,Starter,Manufacturing,Sarah Chen,LATAM,34,True,1366,3371.5,1,1.8333333333333333,16,1,-18.13,-17.14,-20.49,-20.57,-72.05,-66.67,v3.2.0,True,14,8,7,54.1,10,increasing,True,True,0.0,Support takes forever. Our P1 sat open for 3 weeks.,,False,en,True,True,True,3
1003,Meridian Health,193000,2026-06-12,Growth,Media & Publishing,David Kim,LATAM,58,True,16451,19525.833333333332,7,8.833333333333334,137,14,-13.61,-11.32,-12.0,-12.48,-39.01,-36.36,v3.1.2,True,8,4,7,50.0,5,increasing,True,False,8.0,Great support team. Always responsive.,,False,en,True,True,True,3
1004,Pinnacle Media Group,203000,2026-05-10,Scale,Travel & Hospitality,Raj Patel,EMEA,25,True,33615,58292.166666666664,14,23.5,213,36,-13.93,-13.98,-12.9,-10.86,-59.47,-53.33,v3.4.1,True,7,4,5,69.3,1,decreasing,True,True,6.0,Constant downtime and no communication. We're done.,,False,en,True,True,True,3
1005,Vanguard Retail,106000,2026-06-02,Growth,Financial Services,James Okafor,APAC,48,True,7557,17933.833333333332,4,8.666666666666666,53,10,-21.7,-19.12,-24.26,-16.87,-73.17,-69.23,v3.2.0,True,8,7,5,51.4,2,decreasing,True,True,2.0,Support takes forever. Our P1 sat open for 3 weeks.,,False,en,True,True,True,3
1006,Atlas Financial,39000,2026-06-03,Starter,Government,Emily Watson,NA-East,49,True,2357,3533.0,1,1.8333333333333333,26,2,-12.81,-20.26,-15.33,-17.14,-51.19,-66.67,v3.4.1,True,8,5,5,59.0,5,increasing,True,True,8.0,We love the CONCEPT but the execution has fallen off a cliff this year.,Score=8 contradicts negative verbatim,True,en,True,True,True,3
1007,Zenith Publishing,1625000,2026-05-05,Enterprise,Travel & Hospitality,James Okafor,LATAM,20,True,79123,136915.16666666666,32,56.333333333333336,424,97,-15.88,-14.71,-18.02,-10.82,-61.79,-56.76,v3.1.2,True,6,3,3,40.5,1,decreasing,True,False,,,,,,False,True,True,2
1008,Crescent Labs,390000,2026-07-02,Scale,Media & Publishing,James Okafor,NA-East,78,True,76442,70896.5,31,32.666666666666664,464,103,1.41,-3.32,-5.69,1.86,12.04,-13.89,v4.1.0,False,3,2,0,18.9,3,increasing,True,True,5.0,Fine for now but we're watching competitors closely.,,False,en,True,True,True,3
1009,Orion Education,126000,2026-04-30,Growth,Media & Publishing,James Okafor,APAC,15,True,20197,21578.166666666668,11,10.5,202,30,-5.81,-1.36,-1.84,2.38,-25.38,10.0,v4.0.0,False,3,1,0,31.7,2,increasing,True,False,8.0,Fine for now but we're watching competitors closely.,,False,en,True,True,True,3
